year,month,day_of_month,day_of_week,total_trains_on_route,total_schedules_by_day,avg_stops_per_train,cancelled_trains_by_day,cancelled_stops_by_day,delay_count_by_day,delay_rate,delay_count_arrivals,delay_count_departures,max_delay_minutes,avg_delay_minutes,median_delay_minutes,delays_5_15min,delays_15_30min,delays_30_60min,delays_over_60min,first_stop_delay_count,delay_propagation_ratio,delay_count_by_train_type,top_10_common_delays,rolling_delay_rate_7d
2024,2,28,3,202,17804,88.14,20,664,4979,0.2797,2503,2476,55,11.66,9.0,3748,983,248,0,18,0.0251,"{""IC"": 3432, ""S"": 1346, ""PYO"": 29, ""HDM"": 96, ""MV"": 76}","[5, 6, 7, 8, 9, 10, 11, 16, 14, 12]",0.3126
2024,2,29,4,203,17802,87.69,18,624,5515,0.3098,2769,2746,70,12.87,9.0,4203,829,423,60,13,0.0195,"{""IC"": 4305, ""S"": 1056, ""PYO"": 69, ""HDM"": 79, ""MV"": 6}","[5, 6, 7, 8, 9, 11, 10, 12, 14, 13]",0.3037
2024,3,1,5,218,19094,87.59,23,1010,5123,0.2683,2573,2550,61,11.95,9.0,3739,1154,229,1,24,0.0278,"{""IC"": 3674, ""S"": 974, ""PYO"": 252, ""HDM"": 132, ""MV"": 91}","[5, 6, 7, 8, 9, 10, 11, 12, 20, 21]",0.2825
2024,3,2,6,169,15860,93.85,1,28,3333,0.2102,1675,1658,53,12.04,9.0,2455,720,158,0,16,0.0342,"{""IC"": 2653, ""S"": 446, ""PYO"": 38, ""HDM"": 69, ""MV"": 127}","[5, 6, 7, 8, 10, 9, 12, 11, 15, 13]",0.2762
2024,3,3,7,157,14992,95.49,3,96,6120,0.4082,3059,3061,73,16.96,12.0,3717,1362,922,119,28,0.0197,"{""IC"": 5044, ""S"": 822, ""PYO"": 111, ""HDM"": 143}","[6, 5, 7, 8, 9, 11, 10, 13, 12, 14]",0.2858
2024,3,4,1,188,17642,93.84,0,0,4692,0.266,2353,2339,64,10.88,7.0,3899,541,240,12,16,0.0267,"{""IC"": 3548, ""S"": 881, ""PYO"": 183, ""HDM"": 76, ""MV"": 4}","[5, 6, 7, 8, 9, 10, 13, 12, 11, 14]",0.2867
2024,3,5,2,182,17268,94.88,0,16,4573,0.2648,2306,2267,63,11.48,9.0,3702,661,179,31,16,0.0241,"{""IC"": 3408, ""S"": 1062, ""PYO"": 22, ""HDM"": 68, ""MV"": 13}","[5, 6, 7, 11, 9, 10, 8, 12, 13, 14]",0.2867
2024,3,6,3,183,17548,95.89,0,0,5200,0.2963,2619,2581,68,11.77,9.0,4045,832,321,2,10,0.0237,"{""IC"": 3796, ""S"": 1236, ""PYO"": 146, ""HDM"": 22}","[5, 6, 7, 8, 9, 10, 13, 11, 12, 14]",0.2891
2024,3,7,4,191,17684,92.59,2,28,4827,0.273,2428,2399,49,10.48,9.0,3834,955,38,0,17,0.0282,"{""IC"": 3634, ""S"": 934, ""PYO"": 118, ""HDM"": 111, ""MV"": 30}","[5, 6, 8, 7, 10, 9, 11, 13, 12, 14]",0.2838
2024,3,8,5,191,18088,94.7,0,60,7057,0.3901,3540,3517,110,27.86,13.0,3781,1050,1127,1099,16,0.0139,"{""IC"": 5212, ""S"": 1303, ""PYO"": 468, ""HDM"": 37, ""MV"": 37}","[6, 5, 7, 8, 10, 9, 11, 12, 13, 15]",0.3012
